Architecture,DEPTH,Quartus Project,Quartus Version,FPGA Device,Clock Constraint (MHz),Power Method,Toggle Assumption,ALMs/Logic Utilization,Registers,Memory Bits,Memory Blocks,Fmax (MHz),Restricted Fmax (MHz),Setup Slack (ns),Hold Slack (ns),Total Power (W),Dynamic Power (W),Static Power (W),I/O Power (W),Power Estimation Confidence,Fit Report,Timing Report,Power Report
Shift Register,10,shift_depth10,24.3.1,A5ED065BB32AE6SR0,100,Fixed default toggle rate (vectorless off),12.5%,113,175,0,0,1108.65,554.02,9.098,0.117,2.113,0.737,1.377,0.672,Low: user provided insufficient toggle rate data,quartus\shift_depth10\output_files\shift_depth10.fit.rpt,quartus\shift_depth10\output_files\shift_depth10.sta.rpt,quartus\shift_depth10\output_files\shift_depth10.pow.rpt
Circular Queue,10,circular_depth10,24.3.1,A5ED065BB32AE6SR0,100,Fixed default toggle rate (vectorless off),12.5%,162,178,0,0,536.48,536.48,8.136,0.139,2.113,0.737,1.377,0.672,Low: user provided insufficient toggle rate data,quartus\circular_depth10\output_files\circular_depth10.fit.rpt,quartus\circular_depth10\output_files\circular_depth10.sta.rpt,quartus\circular_depth10\output_files\circular_depth10.pow.rpt
Shift Register,100,shift_depth100,24.3.1,A5ED065BB32AE6SR0,100,Fixed default toggle rate (vectorless off),12.5%,925,1851,0,0,833.33,554.02,8.800,0.112,2.118,0.742,1.377,0.672,Low: user provided insufficient toggle rate data,quartus\shift_depth100\output_files\shift_depth100.fit.rpt,quartus\shift_depth100\output_files\shift_depth100.sta.rpt,quartus\shift_depth100\output_files\shift_depth100.pow.rpt
Circular Queue,100,circular_depth100,24.3.1,A5ED065BB32AE6SR0,100,Fixed default toggle rate (vectorless off),12.5%,1106,1714,0,0,343.05,343.05,7.085,0.152,2.121,0.744,1.377,0.672,Low: user provided insufficient toggle rate data,quartus\circular_depth100\output_files\circular_depth100.fit.rpt,quartus\circular_depth100\output_files\circular_depth100.sta.rpt,quartus\circular_depth100\output_files\circular_depth100.pow.rpt
